query_set,system,query_id,query_type,query,matching,expected_document,expected_module,expected_section,top1_document,top1_module,top1_section,first_relevant_rank,result
Mehrsprachig n=18,BM25_domain,m06_de,broad_topic,Welche Module behandeln Informationssuche oder Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Qualifikationsziele,3,gefunden
Mehrsprachig n=18,BM25_domain,m06_en,broad_topic,Which modules cover information search or search engines?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
Mehrsprachig n=18,BM25_domain,m06_tr,broad_topic,Hangi modüller bilgi arama veya arama motorlarını ele alıyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P12,Inhalte,2,gefunden
Mehrsprachig n=18,Dense,m01_de,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Art der Bewertung,,nicht gefunden
Mehrsprachig n=18,Dense,m01_en,exam,What is the exam type for WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Art der Bewertung,,nicht gefunden
Mehrsprachig n=18,Dense,m01_tr,exam,WP3 Information Retrieval dersinin sınav şekli nedir?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Qualifikationsziele,,nicht gefunden
Mehrsprachig n=18,Dense,m02_de,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Voraussetzung für die Vergabe,,nicht gefunden
Mehrsprachig n=18,Dense,m02_en,numerical,How many ECTS credits does WP3 Information Retrieval have?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Voraussetzung für die Vergabe,3,gefunden
Mehrsprachig n=18,Dense,m02_tr,numerical,WP3 Information Retrieval kaç ECTS kredisi?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Voraussetzung für die Vergabe,,nicht gefunden
Mehrsprachig n=18,Dense,m03_de,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,header,,nicht gefunden
Mehrsprachig n=18,Dense,m03_en,responsible_person,Who is responsible for P10 Statistical Methods in Natural Language Processing?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,header,,nicht gefunden
Mehrsprachig n=18,Dense,m03_tr,responsible_person,P10 Statistische Methoden in der Sprachverarbeitung modülünden kim sorumludur?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,header,3,gefunden
Mehrsprachig n=18,Dense,m04_de,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Verwendbarkeit des Moduls,2,gefunden
Mehrsprachig n=18,Dense,m04_en,semester,In which semester is P8 recommended?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Verwendbarkeit des Moduls,2,gefunden
Mehrsprachig n=18,Dense,m04_tr,semester,P8 hangi dönemde öneriliyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,Dense,m05_de,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Englischer Modultitel,,nicht gefunden
Mehrsprachig n=18,Dense,m05_en,content,What topics are covered in P11 Information Extraction?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Englischer Modultitel,,nicht gefunden
Mehrsprachig n=18,Dense,m05_tr,content,P11 Informationsextraktion hangi konuları içeriyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Englischer Modultitel,,nicht gefunden
Mehrsprachig n=18,Dense,m06_de,broad_topic,Welche Module behandeln Informationssuche oder Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
Mehrsprachig n=18,Dense,m06_en,broad_topic,Which modules cover information search or search engines?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
Mehrsprachig n=18,Dense,m06_tr,broad_topic,Hangi modüller bilgi arama veya arama motorlarını ele alıyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m01_de,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m01_en,exam,What is the exam type for WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m01_tr,exam,WP3 Information Retrieval dersinin sınav şekli nedir?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m02_de,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m02_en,numerical,How many ECTS credits does WP3 Information Retrieval have?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m02_tr,numerical,WP3 Information Retrieval kaç ECTS kredisi?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m03_de,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m03_en,responsible_person,Who is responsible for P10 Statistical Methods in Natural Language Processing?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Unterrichtssprache,,nicht gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m03_tr,responsible_person,P10 Statistische Methoden in der Sprachverarbeitung modülünden kim sorumludur?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m04_de,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m04_en,semester,In which semester is P8 recommended?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m04_tr,semester,P8 hangi dönemde öneriliyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m05_de,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m05_en,content,What topics are covered in P11 Information Extraction?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Englischer Modultitel,2,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m05_tr,content,P11 Informationsextraktion hangi konuları içeriyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m06_de,broad_topic,Welche Module behandeln Informationssuche oder Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Qualifikationsziele,2,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m06_en,broad_topic,Which modules cover information search or search engines?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
Mehrsprachig n=18,Hybrid_alpha_0.50,m06_tr,broad_topic,Hangi modüller bilgi arama veya arama motorlarını ele alıyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
